"Cikkszám";"Termék Név";"Státusz";"Nettó Ár";"Bruttó Ár";"Rövid Leírás";"Tulajdonságok";"Link";"Min. Menny.";"Max. Menny.";"Raktárkészlet";"Vásárolható, ha nincs Raktáron";"Változatokhoz Raktárkészlet";"Alacsony készlet";"Kép kapcsolat"
"B053";"NUK Cumisüveg melegítő Autós Adapterrel";"1";"6291.3386";"7990";"-Sérült gyári csomagolás<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"C025";"NUK cumisüveg melegitő(gyári csomagolás nélkül)";"1";"3858.2677";"4900";"";"";"";"1";"";"1";"0";"0";"";""
"H050";"Nuk Vario Express Elektromos gőz sterilizáló";"2";"11803.1496";"14990";"<!HTML KOD><p><strong>-Új, bontott, esztétikailag sérült doboz</strong><br />- Megbízható és praktikus NUK Vario Express<br />- egyszerű használat<br />- sterilizálás 6 perc alatt, 110 ml vízzel<br />- kiegészítők sterilizálása gőzzel<br />- A sterilizáló eltávolítható kosárral rendelkezik<br />- eltávolítja a baktériumok 99,9% -át<br />- A Vario Express automatikusan kikapcsol<br />A csomagolás tartalma<br />1 × gőz sterilizáló<br />1 × üveg fogó<br />1 × kosár<br />6 × rúd üvegtartó</p>";"";"";"1";"";"1";"0";"0";"";""
"B047";"Philips Avent SCF285/02 3in1 Sterilizáló";"1";"14165.3543";"17990";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>-Új, bontott csomagolás,ellenőrzés miatt egyszer beüzemelt állapot</strong></span></p><p><span style=""color: #ff0000;""><strong>- A kiscumi hiányzik</strong></span></p><p>-Elektromos sterilizáló<br />-Sterilizálható:Cumik és tartozékok, cumisüvegek, mellszívók és tartozékai<br />-Cumisüveg 6db fér bele<br />-24 órán át tartó sterilitást biztosít<br />-Egyszerű használat<br />-Sterilizálás ideje (perc): 6<br />-Automatikus kikapcsolás<br />-Állítható méret<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)</p>";"";"";"1";"";"1";"0";"0";"";""
"E007";"Philips Avent SCF355/00 Cumisüveg melegitő  (gyári csomagolás nélkül)";"1";"5503.937";"6990";"-Gyors melegítés<br />-Egyenletes melegítés<br />-A folyadékot keringeti a melegítés során<br />-A Philips Avent termékekkel kompatibilis<br />-3–4 perc alatt melegít";"";"";"1";"";"1";"0";"0";"";""
"C056";"Prince lionheart on-the-go cumisüveg melegitő";"1";"3456.6929";"4390";"-Útközben lehet anyatejet,tápszert melegíteniMelegen tartó funkció<br />-Bármilyen cumisüveggel használható<br />-Melegen tartó funkció<br />-A cumisüveg melegítő működtetése: melegítő tasakkal<br />-Melegítési idő (perc): 20-30<br />--A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"B038";"Reer Bébiétel és Cumisüveg Melegítő";"1";"3929.1339";"4990";"-A legtöbb cumisüveghez jó<br />-Széles és klasszikus üvegekhez készült<br />-A bemelegedési idő  90 másodperc<br />-Mérőpohár a szükséges vízmennyiség pontos feltöltéséhez<br />-A jelzőfény automatikusan kikapcsol, amikor a melegítés befejeződik<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"G032";"Reer VapoMax gőzsterilizátor / cumisüveg sterilizáló";"1";"6055.1181";"7690";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>Új, bontott csomagolásútermék</strong></span><br />Cumisüvegek, cumik és tartozékok gyors, egyszerű és biztonságos fertőtlenítése.<br />Automatikus kikapcsolás funkció<br />Fertőtlenítési időtartam: kb. 10 perc<br />Zárt fedél esetén a tartalma legalább 3 órán keresztül fertőtlenítve marad<br />A legtöbb cumisüveghez alkalmas<br />Anyag: polipropilén gőzölő tartály és fedél<br />Maximum 6 standard kialakítású palack sterilizálható egyszerre<br />Cumisüveg kifogóval</p>";"";"";"1";"";"1";"0";"0";"";""
"F014";"Suavinex - Elektromos gőzsterilizáló 3 az 1-ben akár 6 üveghez ";"1";"14165.3543";"17990";"<p><strong>Új</strong></p><br />A fedél akár 24 órán át is sterilen tartja a tartozékokat<br />Rácsos kosár, kisméretű kivehető, legfeljebb 6 db 360 ml-es cumisüvegnek<br />Automatikus kikapcsolás és LED fény<br />Termék méretek:	26,2 x 20,01 x 36,4 cm; 1,35 kilogramm<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"D072";"Uv Sterilizáló CHS-208A";"1";"19677.1654";"24990";"-Egyszerűen tegye őket a sterilizálóba, és az eszközei ismét sterilek lesznek az UV-fény hatására<br />-Kiváló minőségű professzionális UV-C sterilizáló szekrény<br />-Az ultra erős ultraibolya izzó megöli a csírák és baktériumok több mint 95% -át.<br />-Tökéletes maszkokhoz, szűrőkhöz, kulcsokhoz, telefonokhoz, szemüvegekhez, ruházathoz, ollóhoz, szerszámokhoz stb.<br />- Időzítő<br />- Teljesítmény: 13 watt<br />- Feszültség: 110 / 240V 50 / 60Hz<br />- 2 szintes tárolórésszel.<br />- Falra is szerelhető<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
