"Cikkszám";"Termék Név";"Státusz";"Nettó Ár";"Bruttó Ár";"Rövid Leírás";"Tulajdonságok";"Link";"Min. Menny.";"Max. Menny.";"Raktárkészlet";"Vásárolható, ha nincs Raktáron";"Változatokhoz Raktárkészlet";"Alacsony készlet";"Kép kapcsolat"
"D081";"GHB Kamerás Baby Monitor VB603 bébiőr";"2";"17314.9606";"21990";"-Hordozható monitor<br />-Kétirányú <br />-Hőmérséklet-figyelés - tudni fogja, hogy a helyiség túl meleg vagy hideg-e<br />-Beépített altatódalok a kamerában<br />-Automatikus éjszakai mód<br />-Biztonságos, interferenciamentes, nagy hatótávolságú digitális jel<br />-Nagy kontrasztú 3,2 ″ színes LCD monitor<br />-Akadálymentes Hatótávolság: / 50m beltéri / 260m kültéri<br />-LCD-méret: 3,2 ″<br />-Támogatott felbontás: 320 x 240<br />-Vételi érzékenység: -90dBm<br />-Éjjellátó távolság: 5m<br />-Megtekintési szög: Átlós 45 °<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"3";"0";"0";"";""
"B071";"NUK Eco Control Bébiőr ";"1";"10236.2205";"13000";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>Használt,újszerű állapot</strong></span></p><p><br />-Full-Eco-Control funkció: figyelmezteti a szülőt, ha a jel a hatótávolságon kívül van<br />-Intercom funkció (hangátvitel a baba irányába)<br />-Állítható hangerő-érzékenység<br />-Optikai zajszint jelző<br />-250 métereses hatótávolság<br />-Rezgéses riasztás<br />--A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)</p>";"";"";"1";"";"2";"0";"0";"";""
"C084";"NUK Eco Control Bébiőr(gyári csomagolás nélkül)";"1";"8338.5827";"10590";"-Full-Eco-Control funkció: figyelmezteti a szülőt, ha a jel a hatótávolságon kívül van<br />-Intercom funkció (hangátvitel a baba irányába)<br />-Állítható hangerő-érzékenység<br />-Optikai zajszint jelző<br />-250 métereses hatótávolság<br />-Rezgéses riasztás";"";"";"1";"";"1";"0";"0";"";""
"B064";"Reer Rigi-Digital Bébiőr 300m";"1";"8653.5433";"10990";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>-Új, ellenőrzött, bontott doboz</strong></span><br />-Tartomány 300 m-ig<br />-Alacsony sugárzás és energiatakarékosság az opcionális ECO és VOX funkciók révén<br />-A Frequency Hopping Spread Spectrum (FHSS) technológia<br />-VOX funkció: intelligens automatikus bekapcsolás<br />-Tartományvezérlés optikai / akusztikus<br />-Állítható hangerő szabályozás<br />-Övcsipesz<br />-Elem és / vagy hálózat üzemeltetése<br />-1x szülői egység, 1x babaegység, 1x USB tápegység, 2x USB töltőkábel, elemek szülői egységhez nem tartozék<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)</p>";"";"";"1";"";"3";"0";"0";"";""
"C152";"Tigex Easy Protect Plus bébiőr";"1";"6685.0394";"8490";"-Tiszta, interferenciamentes hang<br />-Vizuális és hallható figyelmeztetések<br />-300 m hatótávolság<br />-2 hálózati adapter tartozék";"";"";"1";"";"1";"0";"0";"";""
"F035";"Gyerek vállfa";"1";"779.5276";"990";"Méret:29.5 x 16.5 x 13.5 cm";"";"";"1";"";"3";"0";"0";"";""
"D013";"Foppapedretti Hopla Leesésgátló kék (h:150cm :43cm)";"1";"5503.937";"6990";"Új, sérült gyári csomagolás<br />Megakadályozza a gyermek legurulását az ágyról<br />Szín: Kék<br />--A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"H071";"Lionelo Hanna leesésgátló";"1";"9440.9449";"11990";"<!HTML KOD><p><strong>Ellenőrzés miatt bontott csomagolás</strong><br />Az egyik legmagasabb leesésgátló a piacon - magassága 66 cm<br />Vastag matracokhoz is tökéletesen illeszkedik<br />Künnyű összecsukás<br />Tároló zsebbel ellátva<br />Egyszerű, könnyed felszerelés<br />Perforált hálóval<br />Leesésgátló mérete: 150x35x66 cm</p>";"";"";"1";"";"1";"0";"0";"";""
"A060";"Reer Biztonsági ágyrács, 50-150 cm, ";"1";"7472.4409";"9490";"Csomagolás nélkül<br />18 hónaptól 5 éves korig ajánlott<br />Szerszám nélkül, saját tartólábaival és szíjával rögzíthető az ágykeret és a matrac között<br />13–30 cm vastag matracokhoz<br />Lehajtható<br />Összecsukható, könnyen szállítható";"";"";"1";"";"1";"0";"0";"";""
"H077";"Reer Leesésgátló ágyra 150cm sandbeige";"2";"7472.4409";"9490";"<!HTML KOD><p><strong>Új, csomagolás nélküli termék</strong><br />Megbízható eszköz, amely megóvja a gyermekeket az ágyról történő leeséstől<br />A biztonsági övek oldalfalak nélküli ágyakon is működnek<br />Könnyen telepíthető Push-fit rendszerrel<br />A huzatot szükség esetén le lehet venni és ki lehet mosni<br />Gyermekeknek 18 hónapos kortól 5 éves korig alkalmas<br />A csomag tartalma egy hordtáska is</p>";"";"";"1";"";"1";"0";"0";"";""
"B076";"The Shrunks Hordozható Felfújható Leesésgátló";"1";"4330.7087";"5500";"Könnyen hordozható, felfújható<br />--A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)<br />";"";"";"1";"";"1";"0";"0";"";""
"H128";"Diaper pelenka kuka utántöltő (4db)";"1";"3929.1339";"4990";"Kompatibilis kukák:<br />Diaper Genie Complete<br />Diaper Genie II Elite<br />Diaper Genie II<br />Diaper Genie Essentials <br />LitterLocker II, a <br />Munchkin STEP és a PAIL termékekkel is.";"";"";"1";"";"1";"0";"0";"";""
"F040";"Tommee Tippee  Twist & Click und Sangenic pelenkakuka utántöltő (3db)";"2";"4952.7559";"6290";"<!HTML KOD><p>Kiszerelés (db): 3<br />Higiénikus, segítségével gond nélkül megszabadulhat a használt pelenkától, könnyedén elbánik a szagokkal, szennyeződésekkel és baktériumokkal.<br />Pelenkakuka utántöltő kapacitása: 180 db, ami körülbelül 1 hónapra elég<br />Könnyen cserélhető</p>";"";"";"1";"";"1";"0";"0";"";""
"H093";"Baby's World Sarokvédő készlet";"2";"3929.1339";"4990";"A biztonsági eszköz rögzítése: ragasztással<br />Tompítja az ütközéseket<br />Erős tartás<br />Hosszúsága egyedileg alakítható<br />A szett tartalmaz: 6 m élvédő, amely méretre vágható és 8 db sarokvédő, 1db ajtó becsapódásgátló, 2db szekrényzár";"";"";"1";"";"1";"0";"0";"";""
"H098";"Yosemy gyermekbiztonsági fiókzár 14db";"2";"2590.5512";"3290";"Biztonsági zárjaink ABS anyagból és környezetbarát rugóból készülnek, <br />innovatív humanizált kialakítással, a gyermekek számára a legjobb védelmet nyújtják<br />A reteszeléshez csak nyomja meg a rugót és forgassa el a kart. <br />A záráshoz csukja be a fiók ajtaját. <br />A felnőttek számára könnyű kinyitni és bezárni a szekrényt<br />Könnyen felszerelhető és eltávolítható";"";"";"1";"";"1";"0";"0";"";""
"H001";"Medi Partners 5 részes babafészek";"1";"10622.0472";"13490";"A babafészek - tökéletesen körülveszi a gyermeket, és kényelmet és biztonságot nyújt.<br />A fészek oldala hipoallergén szilikon golyókkal van feltöltve. A megemelt élek biztosítják a gyermekek biztonságát.<br />A termék könnyű és kényelmes hordozni, bárhová magával viheti, és nyaraláskor, útközben, nagyszülők látogatásakor stb. <br />A termék méretei H x Sz x M	90 x 55 x 13 centiméter<br />Anyag	100% pamut 100% poliészter";"";"";"1";"";"1";"0";"0";"";""
"H002";"Medi Partners 5 részes babafészek";"1";"10622.0472";"13490";"A babafészek - tökéletesen körülveszi a gyermeket, és kényelmet és biztonságot nyújt.<br />A fészek oldala hipoallergén szilikon golyókkal van feltöltve. A megemelt élek biztosítják a gyermekek biztonságát.<br />A termék könnyű és kényelmes hordozni, bárhová magával viheti, és nyaraláskor, útközben, nagyszülők látogatásakor stb.<br />A termék méretei H x Sz x M 90 x 55 x 13 centiméter<br />Anyag 100% pamut 100% poliészter";"";"";"1";"";"2";"0";"0";"";""
"H003";"Medi Partners 5 részes babafészek";"1";"10622.0472";"13490";"A babafészek - tökéletesen körülveszi a gyermeket, és kényelmet és biztonságot nyújt.<br />A fészek oldala hipoallergén szilikon golyókkal van feltöltve. A megemelt élek biztosítják a gyermekek biztonságát.<br />A termék könnyű és kényelmes hordozni, bárhová magával viheti, és nyaraláskor, útközben, nagyszülők látogatásakor stb.<br />A termék méretei H x Sz x M 90 x 55 x 13 centiméter<br />Anyag 100% pamut 100% poliészter";"";"";"1";"";"2";"0";"0";"";""
"A052";"Sterntaler Babafészek  0-36 hónapos korig, 130 x 100 cm";"1";"13377.9528";"16990";"";"";"";"1";"";"1";"0";"0";"";""
"H036";"Nania ülés magasító";"1";"3929.1339";"4990";"2/3 csoport<br />15-36 kg<br />A termék méretei H x Sz x M	44 x 40 x 24 cm";"";"";"1";"";"1";"0";"0";"";""
"H039";"SAFETY 1ST Manga Safe Black ülésmagasító 15-36 kg";"1";"3692.9134";"4690";"Normál szabvány méretek: 15-36 kg, II-III.<br />Kategória: ülésmagasító<br />Hatályban lévő európai szabvány szerint tesztelve<br />Rögzítés módja: az autó 3 pontos biztonsági övét a gyermek előtt elvezetve<br />Rögzíthető: a gépjármű hátsó ülésére<br />A gyermek rögzítése: autó biztonsági öv<br />Felszereltsége: huzattal bevont karfa<br />A huzat anyaga: poliészter<br />A huzat levehető, tisztítása: kézi mosással<br />Ajánlott testmagasság (cm) 135-150";"";"";"1";"";"1";"0";"0";"";""
"H124";"Ergobaby Original Carrier Hordozó Pearl Grey";"2";"31488.189";"39990";"<!HTML KOD><p><strong>Termék ellenőrzés miatt bontott doboz, Új hibátlan</strong><br />Eredeti ergonómikus babahordozó <br />A baba ergonomikus széles és alacsony ülőhelyzetének köszönhetően támogatja a természetes testtartást.<br />Babahordozó rendszer 3 hordozási pozícióval: a hason, a csípőn és a háton.<br />Csecsemőtől kisgyermekig: 5,5 - 20 kg<br />Maximális kényelem a deréktámasszal ellátott csípőövnek (66 cm - 140 cm állítható), amelyben a hordozhatóság magassága állítható. <br />Extra hosszú viselési kényelem az optimális súlyeloszlásnak köszönhetően a vállán és a csípőjén.<br />100% pamutból készült, amely alkalmas férfiak és nők számára.<br />A Nemzetközi Csípődiszplázia Intézet ""csípő számára egészségesnek"" ismerte el.</p>";"";"";"1";"";"1";"0";"0";"";""
"H170";"Labrym 4 in 1  babahordozó 0 36 hónap";"2";"9440.9449";"11990";"<p><strong>Új, csomagolás nélküli termék</strong><br />ERGONOMIKUS: A babahordozó ergonómikus kialakítással rendelkezik, hogy nagyobb kényelmet biztosítson a baba és a szülő számára egyaránt <br />TÖBBFUNKCIÓS: A babahordozó egyik oldalán 1 palackzseb, az ülés alatt 1 pelenkazseb, az egyik oldalon <br />1 okostelefon tartó és egy kapucni védi a babát a naptól vagy az esőtől <br />MINŐSÉGI ANYAGOK: Újszülött babahordozó puha, lélegző és nem mérgező anyagból készül</p><br />0 36 hónap";"";"";"1";"";"1";"0";"0";"";""
"G038";"Manduca Black Line kenguru";"1";"23614.1732";"29990";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>Új, gyári csomagolás nélkül</strong></span><br />Újszülöttektől egészen nagyobb gyermekek hordozásáig alkalmas – 3,5 – 20 kg.<br />Az újszülött-betét használatával újszülöttek hordozására is alkalmas.<br />Hason, oldalon és háton egyaránt hordható.<br />Lehetővé teszi a baba ergonomikus M pozícióban való hordozását.<br />A párnázott hevederek és a deréköv megkönnyítik a súly eloszlatását a kényelmes hordozás érdekében.<br />Remekül illeszkedik különböző méretű szülőkhöz.<br />Külső és belső anyag: 100% bio pamut.<br />Kiváló minőségű YKK cipzár és nikkelmentes patentek.<br />Tömege 720 g.</p>";"";"";"1";"";"1";"0";"0";"";""
"H123";"SIMBR Ergonómikus kenguru";"2";"11803.1496";"14990";"Minden évszakra alkalmas<br />Lélegző 3D hálós szövet és csúszásgátló szilikon párna <br />A baba izzadása után a szövet gyorsan felszívja a nedvességet és elpárologtatja az izzadságot<br />Kényelmes és könnyű<br />100% kiváló minőségű pamutból készült<br />A Simbr babahordozó 12 hordozási lehetőséget kínál, és alkalmas 3-36 hónapos csecsemők számára.<br />Maximális terhelés: 20 kg.<br />Állítható kialakítás és biztonság: a vastag vállpántok és az extra széles hevederek növelik a támaszt és csökkentik a rezgéseket, ami védi a baba gerincét";"";"";"1";"";"1";"0";"0";"";""
"D055";"BABY FEHN Funky Kúszó Oroszlántekercs";"1";"3456.6929";"4390";"Méret: 22 x 34 cm<br />Kézzel tisztítható<br />Lágy tapintású anyag<br />Csörgőkkel";"";"";"1";"";"1";"0";"0";"";""
"H155";"Bright Stars Játék rágóka Snuggle&Teethe zsiráf";"2";"1960.6299";"2490";"könnyen megfogható <br />megnyugtató a baba számára<br />különböző textúrák támogatják a gyermek fejlődését<br />már újszülött kortól<br />Termék méretei: 21,6 cm x 7,4 cm 26,7 cm";"";"";"1";"";"1";"0";"0";"";""
"C148";"Chicco Baby Bear Altató Játék(doboz nélkül)";"1";"5897.6378";"7490";"Zenél<br />Éjjeli fény funkció<br />Dallam fajtája: klasszikusok, természet hangjai<br />Anyaga: 100% poliészter<br />Méret: 35 cm<br />-3db AAA elemmel müködik (nem tartozék)<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)<br />";"";"";"1";"";"2";"0";"0";"";""
"E003";"Chicco Baby Bear Altató Játék(doboz nélkül)";"1";"5897.6378";"7490";"Zenél<br />Éjjeli fény funkció<br />Dallam fajtája: klasszikusok, természet hangjai<br />Anyaga: 100% poliészter<br />Doboz Nélkül<br />Méret: 35 cm";"";"";"1";"";"1";"0";"0";"";""
"G021";"FISHER-PRICE Grow-with-Me Tummy Time Llama készségfejlesztő játék";"2";"7866.1417";"9990";"<!HTML KOD><p><span style=""background-color: #ffffff;""><span style=""color: #ff0000;""><strong>A termék új, gyári doboz nélkül</strong></span></span><br />Ajánlott kor (hó): 0+<br />Korcsoport: bébi<br />Anyaga: műanyag, plüss, textil<br />Fejleszti: motoros készséget, tapintást<br />Felszereltsége: csörgő, rágóka, tükör</p>";"";"";"1";"";"1";"0";"0";"";""
"C072";"Fisher-Price Szunyókáló Vidra Altató Plüss(doboz nélkül)";"1";"7078.7402";"8990";"<!HTML KOD><p><strong>A termék új, hiányzik a doboza</strong><br />Méret: 21 cm<br />Zenélő Altatójáték<br />Légző effektek<br />Az elektronikát eltávolítva mosógépben mosható</p>";"";"";"1";"";"5";"0";"0";"";""
"C151";"Pioupiou & Merveilles Róka(doboz nélkül)";"1";"4716.5354";"5990";"Méret: 50 cm (25 cm test, 25 cm farok)";"";"";"1";"";"1";"0";"0";"";""
"C026";"Plüss Róka Les Amis Kaloo Paprika Fox";"1";"6291.3386";"7990";"Méret:  25 cm<br />Díszdobozban<br />Díszdoboz mérete: 14*14*19 cm";"";"";"1";"";"1";"0";"0";"";""
"G044";"Steiff Ellie Elephant - 26 cm - puha játék babáknak - plüss elefánt - világosszürke ";"2";"7078.7402";"8990";"<!HTML KOD><p><strong>Új, gyári csomagolás nálkül</strong><br />Eredeti Steiff plüss játék<br />Kiváló minőség<br />Szín: szürke<br />Mérete: 28 cm<br />Töltet: poliészter</p>";"";"";"1";"";"1";"0";"0";"";""
"G045";"Steiff mackó - 30 cm  plüss";"1";"6291.3386";"7990";"Eredeti Steiff plüss játék<br />Kiváló minőség<br />Szín: Bézs<br />Mérete: 30 cm<br />Töltet: poliészter";"";"";"1";"";"1";"0";"0";"";""
"F048";"Steiff mackó szürke 28 cm fehér (gyári csomagolás nélkül)";"1";"5110.2362";"6490";"Új gyáricsomagolás nélkül<br />Anyag: puha plüss anyagból<br />Anyag összetétele: 100% poliészter<br />Méret: 28 cm";"";"";"1";"";"1";"0";"0";"";""
"F047";"Steiff mackó szürke 28 cm szürke (gyári csomagolás nélkül)";"1";"5110.2362";"6490";"Új gyáricsomagolás nélkül<br />Anyag: puha plüss anyagból<br />Anyag összetétele: 100% poliészter<br />Méret: 28 cm";"";"";"1";"";"1";"0";"0";"";""
"B069";"Steiff Plüss Bagoly(doboz nélkül)";"1";"5503.937";"6990";"Anyag: puha plüss anyagból <br />Anyag összetétele: 100% poliészter<br />Méret: 21 cm<br />Felhúzós,zenélő funkció";"";"";"1";"";"1";"0";"0";"";""
"C027";"Sterntaler Felhúzós Zenélő Baba";"1";"2511.811";"3190";"Anyaga: plüss<br />Dallamot játszik<br />Rögzítés módja: kötővel";"";"";"1";"";"1";"0";"0";"";""
"C067";"Sterntaler Zenélő Tigris";"1";"3614.1732";"4590";"Méret:  25cm<br />Anyaga: plüss<br />Dallamot játszik";"";"";"1";"";"1";"0";"0";"";""
"H159";"Toy teknős Chilly, 27 cm";"2";"2748.0315";"3490";"<!HTML KOD><p><strong>Csomagolás nélküli új termék</strong><br />Teknős Chilly, zöld<br />Méret: kb. 27 cm.<br />Anyaga: 100% poliészter Mosható 30 ° C-on.<br />Alkalmas minden korosztály számára</p>";"";"";"1";"";"1";"0";"0";"";""
"E038";"Warmies Melegíthető Plüssmókus(doboz nélkül)";"1";"3929.1339";"4990";"Melegítse mikrohullámú sütőben<br />Az így felvett hőt az állatkák a bennük levő gyógynövények aromaanyagaival együtt adják le, elősegítve ezzel a gyógyulást és a nyugodt elalvást.";"";"";"1";"";"1";"0";"0";"";""
"F061";"Warmies Melegítő párna / puha játék ""Álmos medve türkiz"" levendula töltelék 35 cm 700 g";"2";"3929.1339";"4990";"Gyári csomagolás nélkül,új<br />Méretek: 35 x 16 cm.<br />Töltelék: köles levendula töltelék.<br />Melegítés: 90 sec / 800 W mikrohullámú sütő <br />Anyaga: 100% poliészter.<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"C036";"Whisbear The Soothing Bird Plüss";"1";"5503.937";"6990";"Megkönnyíti az elalvást<br />Biztonságos és gyengéd zaj<br />Hasonlít az anya méhéből felismerhető hangra<br />Születésétől fogva<br />Tökéletes útitárs";"";"";"1";"";"1";"0";"0";"";""
"H099";"ANSUG mérföldkő takaró fotózáshoz";"2";"3377.9528";"4290";"Tökéletes háttér az első hetekben, hónapokban fotó készítéséhez<br />A baba fotótakaró mérete 100 * 130 cm ";"";"";"1";"";"1";"0";"0";"";""
"H141";"Niimo Bölcső Ágynemű készlet";"2";"7866.1417";"9990";"Új, sérült csomag<br />A készlet tartalma: 1 vízálló matrachuzat 83x50cm<br />                                   1 gumis lepedő 83x50<br />                                   1 takaró  98x78<br />                                   1 párna huzat  36x27<br />Kompatibilis:Chicco Next To Me, Chicco Lullago, Kinderkraft Uno, Cullami Cam, Jane Babyside és más 80x53 cm méretű bölcsőkkel";"";"";"1";"";"1";"0";"0";"";""
"Z008";"Tom & Kids Polár takaró plüssfigurával";"2";"3929.1339";"4990";"-Kellemes, puha tapintású <br />-Anyagok: 100% poliészter<br />-Méret:90x70";"";"";"1";"";"no";"0";"1";"";""
"H046";"UAMITA puha babatakaró fotózáshoz";"2";"1881.8898";"2390";"<!HTML KOD><p><strong>Új, Bontott csomagolás</strong><br />Tökéletes háttér az első hetekben, hónapokban fotó készítéséhez<br />Puha, hipoallergén, 300 g / m2-es flanelből készült<br />Kézzel varrott <br />Méret: 50x70cm<br />Mosás: 30 fokon</p>";"";"";"1";"";"1";"0";"0";"";""
"F069";"Angel Dog orrszívó orrporszívó";"1";"1803.1496";"2290";"-Porszívóhoz csatlakoztatható<br />A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"C076";"Beaba Tomydoo Elektromos orrszívó";"1";"7866.1417";"9990";"-Szilikon szívócsúcs garantálja<br />-A szívócsúcsok eltávolíthatók<br />-Tisztításuk egyszerű<br />-2Db (AA) elemmel müködik (elem nélkül van)";"";"";"1";"";"2";"0";"0";"";""
"C131";"Miniland elektromos orrszívó";"1";"5503.937";"6990";"";"";"";"1";"";"1";"0";"0";"";""
"H157";"Nacot orrszívó USB töltővel";"2";"6291.3386";"7990";"Kiváló minőségű motor- és szivattyú<br />6 szívási erősség és 4 szilikon fej<br />Egygombos működés<br />USB-töltés ";"";"";"1";"";"1";"0";"0";"";""
"C170";"Nuonove kézi orrszívó 2db";"1";"1566.9291";"1990";"";"";"";"1";"";"1";"0";"0";"";""
"E033";"CHICCO PROJEKTOR NEXT 2 STARS ZENÉLŐ ÉJJELI FÉNY";"1";"5188.9764";"6590";"<!HTML KOD><p><span style=""background-color: #ffffff; color: #ff0000;""><strong>Használt</strong></span></p><p>-Zenél<br />-Éjjeli fény funkció<br />-Dallamok száma: 7<br />-Zenélés ideje (kb. perc): 30<br />-Szabályozható hangerő<br />-Automatikusan kikapcsol<br />-Működtetése: elemmel (3 x 1,5V-os AA)<br />-Elemet tartalmaz: nem<br />-Anyaga: 100% poliészter<br />-Rögzíthető: kiságyra</p>";"";"";"1";"";"1";"0";"0";"";""
"Z002";"Intex By Toys zenélő, világító éjjeli fény";"2";"2913.3858";"3700";"- Termék mérete: Hosszúság 13 x Szélesség 13 x Magasság 8,5cm<br />- Elem működtetésű, 2 x LR6 AA tartozék";"";"";"1";"";"12";"0";"0";"";""
"Z001";"Ledes éjszakai fény";"2";"2204.7244";"2800";"- Termékméret: Hossz 9,2 x Szélesség 10,5 x Magasság 13cm<br />- Elemmel működik, 3 x AG13 / LR44 tartozék<br />";"";"";"1";"";"no";"0";"1";"";""
"H051";"Momcozy Baby Sleep plüss éjjelifény lágy dallamokkal";"2";"7078.7402";"8990";"15 nyugtató altatódal<br />A Momcozy baby white noise készülék 11 nyugtató altatódal és 4 fehér zajjal rendelkezik (mama szívverése, esőhangja, psst és madárdal).<br />3 színű csillagfény és 7 fokozatú hangerő állítható<br />Hordozható és mosható: <br />Az elefánt farka lehetővé teszi, hogy a játékelefánt biztonságos tépőzárral rögzíthető legyen gyermekágyban, babakocsiban vagy autóülésben.<br /> A készülék eltávolítható, így a plüss elefántjáték géppel és kézzel mosható.<br />Automatikus kikapcsolási időzítő és csavarhúzó";"";"";"1";"";"1";"0";"0";"";""
"D050";"Pabobo Kid Sleep - Classic  ébresztőóra";"1";"7866.1417";"9990";"-Új,sérült  gyári csomagolás<br />-Riasztásjelző, az ábra alvó vagy ébrenléti állapotban van<br />-Riasztás (madárénekelés) vagy néma üzemmód<br />-Hagyományos éjszakai fény<br />-3 fényerősség<br />-2 lehetséges program: Reggel / Siesta";"";"";"1";"";"1";"0";"0";"";""
"C149";"Vtech Hippo Dodo Viziló projektoros zenélő plüss (francia-német) nyelv";"2";"5897.6378";"7490";"Gyönyörű ragyogó színekben, megnyugtatja a babáját és segíti a baba jobb alvását.<br />12 természeti hang, 60 dallam, 3 dal. <br />Hangerő-szabályozók. <br />Születésétől kezdve alkalmas<br />Projektoros éjjeli fényt vetít<br />Segít a gyermek altatásában<br />Francia-Német nyelvű";"";"";"1";"";"5";"0";"0";"";""
"F065";" Systemoto Sea Life napellenző autóba 2db";"1";"1724.4094";"2190";"Öntapadós/elektrosztatikusan tapad<br />";"";"";"1";"";"2";"0";"0";"";""
"F055";"Autós tároló táblagéptartóval";"1";"2118.1102";"2690";"Speciális vízálló anyag<br />Praktikus zsebek<br />Védi az ülést";"";"";"1";"";"1";"0";"0";"";""
"F049";"Autós tároló táblagéptartóval szett (2db)";"1";"3929.1339";"4990";"Speciális vízálló anyag<br />Praktikus zsebek<br />Védi az ülést";"";"";"1";"";"1";"0";"0";"";""
"F056";"Autósülés hátvédő  multifunkcionális";"1";"3377.9528";"4290";"Többfunkciós kialakítás<br />Egyszerű felhelyezés<br />Állítható öv csatokkal<br />Az összecsukható tálca bármikor kinyitható kis étkezőasztalként (2,5 kg terhelhetőség)<br />Erős és tartós<br />Vízálló és a rajta lévő foltok könnyen letörölhetők.";"";"";"1";"";"2";"0";"0";"";""
"H167";"Autósüléshuzat csúszásgátló funkcióval ISOFIX-es üléshez is";"2";"2354.3307";"2990";"Robusztus anyag, teljesen karcálló és védi az autóülést a nyomáspontoktól<br />Vízálló és nagyon tartós minőségű anyag<br />Nagyon könnyen tisztítható<br />Praktikus  hálós táska (H x Sz) 17,5 x 38 cm az alsó részen, extra tárolóhelyként játékok vagy italok számára";"";"";"1";"";"1";"0";"0";"";""
"H168";"Baby Jogger babakocsi adapter";"2";"8653.5433";"10990";" Baby Jogger City Select, City Select LUX vagy City Premier babakocsikhoz<br />Alkalmas a Baby Jogger City GO i-Size, a Graco SnugRide R44 és a SnugRide i-Size babahordozókhoz<br />Közvetlenül a babakocsira szerelhető babahordozó-adapterek; nincs szükség rúdra<br />Nincs szükség szerszámokra; egyszerű telepítés<br />Összecsukható babakocsi adapterekkel";"";"";"1";"";"1";"0";"0";"";""
"H100";"Bébé Confort Nyári Autósülés Huzat";"2";"4716.5354";"5990";"Magas kényelem a csecsemők számára, csökkenti az izzadtságot.<br />Gépben mosható 30 ° C-on.<br />Puha és bolyhos frottír anyag<br />Egyszerű telepítés: nem kell eltávolítani a hevedereket";"";"";"1";"";"1";"0";"0";"";""
"C062";"BebéCare EasyTech riasztó gyerekülésre";"1";"6291.3386";"7990";"-A Chicco Bebécare Easytech gyermekfigyelőként, gyerekriasztóként funkcionál az autóban.<br />-A riasztórendszer gondoskodik arról, hogy a felnőtt személy véletlenül se felejtse a gyermeket az autóban!<br />-Könnyen rögzíthető a gyerekülés vállpárnáira vagy a biztonsági övre.<br />-Régi és új gyerekülésekre is rátehető, univerzális, önálló eszköz, márkafüggetlen.<br />-Ingyenes applikáció letöltése szükséges: ChiccoBebèCareAPP<br />-A BebèCare easy-tech eszköz a Bluetooth technológia segítségével kapcsolódik össze a telefonnal.<br />-A Chicco BebèCare applikációt le kell tölteni.<br />-A segélyhívó kapcsolatok listáját létre kell hozni: szülők, nagyszülők, barátok azonnal hozzáadhatók a fiókhoz.<br />-A ChiccoBebèCare easy-techeszközt és az APP-ot csatlakoztatni kell egymáshoz a QR-kód leolvasása által.<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"3";"0";"0";"";""
"H152";"Black Seat autós tükör";"2";"2354.3307";"2990";"Lehetővé teszi a hátsó ülésen lévő gyermek gyors szemlélését anélkül, hogy a vezetőnek hátra kellene néznie.<br />Tükör felülete: 23x16 cm (368 cm²); Súly: 335 g | szín: fekete; <br />Anyaga: Akrilüveg tükör (törésbiztos) + Stabil műanyag ház";"";"";"1";"";"1";"0";"0";"";""
"F005";"BRITAX RÖMER Comfort autóaülés betét";"1";"6291.3386";"7990";"-A termék méretei H x Sz x M:30 x 490 x 390 mm<br />-Szín:Fekete<br />-Az extra párnával ellátott komfortbetét biztosítja, hogy a gyermek és a gyermekülés oldalai között lényegesen kevesebb legyen a hely.<br />-További kényelmet nyújt<br />-9 kg súlyú gyermekülésekhez integrált övrendszerrel<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"H150";"BRITAX RÖMER Dualfix Beige gyerekülés nyári huzat";"2";"7472.4409";"9490";"Higiénikus védőhuzat autósülésre, mely felszívja a gyermek izzadtságát<br />Könnyen levehető<br />A következő hordozókkal/gyerekülésekkel használható: Britax Römer Dualfix(M)/Swingfix (M) <br />Az ülés egészét védi<br />Rögzítés módja: gumipánttal<br />Anyaga: frottír, pamut<br />Tisztítása: mosógéppel";"";"";"1";"";"1";"0";"0";"";""
"H034";"BRITAX RÖMER King II ATS/King II LS/ King II Beige gyerekülés nyári huzat";"1";"7314.9606";"9290";"<!HTML KOD><p><strong>Új, csomagolás nélküli termék</strong><br />Higiénikus védőhuzat autósülésre, mely felszívja a gyermek izzadtságát<br />Könnyen levehető<br />A következő hordozókkal/gyerekülésekkel használható: Britax Römer King II ATS, Britax Römer King II LS<br />Az ülés egészét védi<br />Anyaga: pamut<br />Tisztítása: kézi mosással</p>";"";"";"1";"";"1";"0";"0";"";""
